"","beer_pos_text","beer_names_text"
"1","#1","Golden State Cider Bay Brut"
"2","#2","Mraz #BrothasAndBeer Black DIPA"
"3","#3","Alesmith Thai Speedway Stout Imperial Stout"
"4","#4","Track 7 Bloomer's Cut DIPA"
"5","#5","El Segundo White Dog IPA"
"6","#6","Cultivar California Pale Ale"
"7","#7","Cultivar California IPA"
"8","#8","Bear Republic Jester Rebellion IPA"
"9","#9","Device Pincushion Pils"
"10","#10","Cultivar Hand Picked Belgian Blonde"
"11","#11","Burgeon Don't Be Bitter IPA"
"12","#12","Belching Beaver Texifornia Hazy 3xIPA"
"13","#13","Hangar 24 Pugachev's Cobra Imperial Stout"
"14","#14","Bottle Logic Gravity Rush BBA English Toffee Wee Heavy"
"15","#15","Sudwerk Bavarian Wheat"
"16","#16","Bottle Logic Dr. Robotnik Hazy IPA"
"17","#17","Bruery/Jester King Bouffon Sour Ale"
"18","#18","Good Beer Company Ralph Sour Cherry Farmhouse"
"19","#19","Anchorage Anadromous Dark Sour"
"20","#20","Altamont Nutty Operator Peanut Butter Stout (Nitro)"
